iteration,mean_reward,mean_value,mean_advantage,mean_ep_len,policy_loss,value_loss,entropy,approx_kl,clip_frac,explained_var
1650,1.7436,35.2257,-0.1898,41.1,-0.0083,3.314,6.8606,0.008,0.0659,0.7264
1660,1.7138,34.4942,-0.0893,39.7,-0.0067,6.3955,6.8504,0.003,0.0279,0.793
1670,1.7243,33.9522,0.2969,45.3,-0.007,5.325,6.854,0.006,0.0437,0.8466
1680,1.7173,34.4824,-0.1127,41.6,-0.0067,6.5112,6.8569,0.004,0.0329,0.7973
1690,1.7495,35.5921,-0.3137,38.2,-0.0088,3.8386,6.8865,0.0027,0.0419,0.7605
1700,1.7597,35.6713,-0.2396,41.1,-0.0079,4.3878,6.859,0.0044,0.0557,0.7507
1710,1.8387,36.0149,0.3945,43.1,-0.0084,3.3181,6.853,0.0062,0.0448,0.7938
1720,1.8271,36.1326,0.2428,39.6,-0.0106,2.7611,6.8594,0.0035,0.0592,0.7512
1730,1.7068,34.15,0.0136,47.2,-0.0076,7.4025,6.8348,0.0021,0.0493,0.8349
1740,1.7521,34.543,0.2345,44.3,-0.0082,7.1814,6.8059,0.0029,0.0382,0.8108
1750,1.8981,36.4781,0.756,44.7,-0.0081,2.7083,6.8001,0.0019,0.0354,0.7488
1760,1.8302,36.041,0.3072,46.2,-0.0099,3.9268,6.7755,0.0061,0.0439,0.8465
1770,1.7031,35.3964,-0.6827,42.0,-0.0064,5.8334,6.7554,0.0031,0.0403,0.6971
1780,1.8272,36.3585,0.101,51.5,-0.0116,4.4717,6.7606,0.0049,0.0637,0.7978
1790,1.7616,35.1868,0.0364,49.8,-0.0068,7.5768,6.7359,0.0034,0.0325,0.7683
1800,1.8624,37.2733,-0.0093,52.5,-0.0116,3.9668,6.7244,0.0084,0.0637,0.8013
1810,1.8578,36.8449,0.2114,48.0,-0.0113,4.1041,6.7195,0.0061,0.069,0.7823
1820,1.8623,36.8798,0.1834,54.6,-0.0099,5.2389,6.7057,0.0085,0.0536,0.8216
1830,1.7538,36.2754,-0.602,48.4,-0.0072,5.5276,6.6971,0.0011,0.0329,0.8732
1840,1.7666,35.8901,-0.3027,52.9,-0.0066,4.4704,6.6536,0.0038,0.0453,0.818
1850,1.7405,36.5375,-0.8972,54.5,-0.0034,9.5924,6.6397,0.0012,0.0377,0.7902
1860,1.8599,37.0397,0.0844,53.9,-0.0072,5.7703,6.6608,0.0042,0.0514,0.8437
1870,1.7763,36.3198,-0.3487,49.3,-0.0069,8.7048,6.626,0.0026,0.0396,0.8308
1880,1.8608,37.2407,0.0216,54.4,-0.0116,5.1334,6.6179,0.0052,0.0581,0.8413
1890,1.8321,37.6024,-0.4694,43.0,-0.0104,2.5654,6.5846,0.0059,0.0446,0.7989
1900,1.8885,37.6822,0.0438,52.9,-0.012,4.9866,6.5674,0.0056,0.0628,0.8301
1910,1.8735,37.158,0.1438,49.6,-0.0122,4.1328,6.5377,0.0099,0.067,0.7158
1920,1.8319,36.8237,-0.0949,53.8,-0.0102,6.8955,6.5257,0.0023,0.05,0.8431
1930,1.8535,37.8218,-0.3845,69.1,-0.0079,7.8292,6.5258,0.0035,0.0441,0.7498
1940,1.9099,37.0839,0.5896,68.0,-0.0069,6.8993,6.4749,-0.001,0.0436,0.8991
1950,1.8943,37.5619,0.1202,56.9,-0.0104,6.7553,6.487,0.003,0.0505,0.7519
1960,1.9596,38.8487,0.1854,60.3,-0.0107,4.5576,6.4429,0.0092,0.0535,0.8185
1970,1.9026,38.0443,0.0135,63.8,-0.0105,7.815,6.453,0.0024,0.0449,0.8367
1980,1.8269,36.7691,-0.1166,58.7,-0.0108,6.6423,6.4371,0.0075,0.0547,0.8711
1990,1.9588,38.1429,0.5312,58.7,-0.0093,6.1286,6.4122,0.0068,0.0474,0.7926
2000,1.9121,38.3568,-0.0542,53.8,-0.0096,5.6103,6.4212,0.006,0.0492,0.8056
